ts,point_id,idx_wifi,idx_ble,idx_uwb,idx_gnss,idx_nr5g
1729686520045.0,A13B6,,0,,,
1729686520541.0,A13B6,,1,,,
1729686520631.0,A13B6,0,,,,
1729686520958.0,A13B6,,2,,,
1729686521361.0,A13B6,1,,,,
1729686521421.0,A13B6,,3,,,
1729686521837.0,A13B6,,4,,,
1729686522145.0,A13B6,2,,,,
1729686522364.0,A13B6,,5,,,
1729686522860.0,A13B6,,6,,,
1729686522887.0,A13B6,3,,,,
1729686523436.0,A13B6,,7,,,
1729686523728.0,A13B6,4,,,,
1729686524491.0,A13B6,5,,,,
1729686525313.0,A13B6,6,,,,
1729686526066.0,A13B6,7,,,,
1729686526810.0,A13B6,8,,,,
1729686527568.0,A13B6,9,,,,
1729686528358.0,A13B6,10,,,,
1729686529119.0,A13B6,11,,,,
1729686529874.0,A13B6,12,,,,
1729686530638.0,A13B6,13,,,,
1729686531323.0,A13B6,,,0,,
1729686531426.0,A13B6,14,,,,
1729686532191.0,A13B6,15,,,,
1729686532552.0,A13B6,,,1,,
1729686532943.0,A13B6,16,,,,
1729686533691.0,A13B6,,8,,,
1729686533695.0,A13B6,17,,,,
1729686533781.0,A13B6,,,2,,
1729686534188.0,A13B6,,9,,,
1729686534533.0,A13B6,18,,,,
1729686534683.0,A13B6,,10,,,
1729686535009.0,A13B6,,,3,,
1729686535164.0,A13B6,,11,,,
1729686535296.0,A13B6,19,,,,
1729686535564.0,A13B6,,12,,,
1729686536056.0,A13B6,20,,,,
1729686536092.0,A13B6,,13,,,
1729686536238.0,A13B6,,,4,,
1729686536588.0,A13B6,,14,,,
1729686536831.0,A13B6,21,,,,
1729686537084.0,A13B6,,15,,,
1729686537467.0,A13B6,,,5,,
1729686537564.0,A13B6,,16,,,
1729686537667.0,A13B6,22,,,,
1729686538045.0,A13B6,,17,,,
1729686538437.0,A13B6,23,,,,
1729686538541.0,A13B6,,18,,,
1729686538696.0,A13B6,,,6,,
1729686539036.0,A13B6,,19,,,
1729686539197.0,A13B6,24,,,,
1729686539516.0,A13B6,,20,,,
1729686539924.0,A13B6,,,7,,
1729686539956.0,A13B6,25,,,,
1729686540108.0,A13B6,,21,,,
1729686540604.0,A13B6,,22,,,
1729686540706.0,A13B6,26,,,,
1729686541100.0,A13B6,,23,,,
1729686541153.0,A13B6,,,8,,
1729686541463.0,A13B6,27,,,,
1729686541579.0,A13B6,,24,,,
1729686542076.0,A13B6,,25,,,
1729686542236.0,A13B6,28,,,,
1729686542381.0,A13B6,,,9,,
1729686542572.0,A13B6,,26,,,
1729686542994.0,A13B6,29,,,,
1729686543069.0,A13B6,,27,,,
1729686543516.0,A13B6,,28,,,
1729686543610.0,A13B6,,,10,,
1729686543761.0,A13B6,30,,,,
1729686544012.0,A13B6,,29,,,
1729686544429.0,A13B6,,30,,,
1729686544523.0,A13B6,31,,,,
1729686544840.0,A13B6,,,11,,
1729686544860.0,A13B6,,31,,,
1729686545268.0,A13B6,32,,,,
1729686545356.0,A13B6,,32,,,
1729686545852.0,A13B6,,33,,,
1729686546047.0,A13B6,33,,,,
1729686546068.0,A13B6,,,12,,
1729686546364.0,A13B6,,34,,,
1729686546844.0,A13B6,,35,,,
1729686546884.0,A13B6,34,,,,
1729686547297.0,A13B6,,,13,,
1729686547340.0,A13B6,,36,,,
1729686547651.0,A13B6,35,,,,
1729686547852.0,A13B6,,37,,,
1729686548380.0,A13B6,,38,,,
1729686548420.0,A13B6,36,,,,
1729686548526.0,A13B6,,,14,,
1729686548860.0,A13B6,,39,,,
1729686549193.0,A13B6,37,,,,
1729686549356.0,A13B6,,40,,,
1729686549754.0,A13B6,,,15,,
1729686549852.0,A13B6,,41,,,
1729686549958.0,A13B6,38,,,,
1729686550492.0,A13B6,,42,,,
1729686550729.0,A13B6,39,,,,
1729686550984.0,A13B6,,,16,,
1729686550988.0,A13B6,,43,,,
1729686551496.0,A13B6,40,,,,
1729686551596.0,A13B6,,44,,,
1729686552124.0,A13B6,,45,,,
1729686552212.0,A13B6,,,17,,
