Unix_Timestamp,Messung,AP1,AP2,AP3,AP4,AP5,AP6
1729686257346,1,40.949,27.707,31.48,26.363,10.605,7.011
1729686258101,1,52.335,26.734,34.578,19.945,10.324,6.55
1729686258842,1,51.226,26.332,36.246,21.691,10.312,7.566
1729686259598,1,50.191,26.562,35.207,21.632,10.238,7.105
1729686260347,1,48.0,26.941,37.164,22.566,9.921,6.886
1729686261115,1,50.171,26.937,37.179,22.652,10.105,6.394
1729686261912,1,51.023,26.367,37.042,24.652,9.964,6.683
1729686262701,1,49.992,27.066,37.007,21.914,9.984,6.187
1729686263469,1,50.546,26.343,35.937,23.613,10.285,6.414
1729686264238,1,49.625,27.773,36.64,21.46,10.226,6.863
1729686265041,1,48.843,26.828,37.171,21.718,10.363,6.328
1729686265799,1,52.0,26.871,37.16,21.589,10.23,7.308
1729686266562,1,49.859,26.492,35.726,22.007,9.968,6.636
1729686267331,1,50.417,26.875,35.832,21.621,9.921,6.414
1729686268207,1,50.332,27.878,36.429,21.328,10.062,6.828
1729686268962,1,50.382,26.542,36.898,20.55,10.238,6.746
1729686269732,1,50.917,26.382,36.554,21.171,10.394,6.57
1729686270582,1,48.937,26.562,36.312,20.703,10.121,6.949
1729686271364,1,50.285,26.609,36.91,21.617,10.355,6.824
1729686272123,1,50.339,26.703,36.433,21.171,10.07,6.933
1729686272885,1,50.48,26.492,36.753,21.203,10.296,6.687
1729686273640,1,50.703,26.414,36.972,21.527,10.16,6.945
1729686274497,1,50.453,26.371,inf,21.453,10.281,6.773
1729686275255,1,50.589,26.48,37.093,20.851,10.195,6.699
1729686276017,1,50.449,26.593,36.457,21.234,10.195,6.906
1729686276778,1,50.617,26.41,36.703,21.628,10.257,6.933
1729686277599,1,50.589,26.523,36.511,21.441,10.394,6.761
1729686278368,1,50.546,26.457,36.718,21.628,10.203,6.738
1729686279122,1,50.64,26.64,36.46,22.183,10.14,6.722
1729686279881,1,50.238,26.609,36.144,21.925,10.0,6.796
1729686280670,1,50.421,26.679,36.742,20.761,10.148,6.835
1729686281440,1,50.437,26.406,36.292,20.75,10.148,6.671
1729686282200,1,50.164,26.273,36.003,21.054,10.183,6.984
1729686282964,1,50.542,26.148,36.71,21.035,10.023,6.605
1729686283758,1,49.839,26.398,36.207,21.714,10.253,6.55
1729686284599,1,50.449,26.144,36.843,21.562,10.265,6.8
1729686285368,1,50.91,26.371,36.851,22.214,10.289,6.722
1729686286126,1,51.183,26.546,36.058,21.449,10.179,6.796
1729686286945,1,50.472,26.632,36.082,21.75,10.363,6.652
1729686287710,1,50.574,26.664,36.351,21.816,10.269,6.496
1729686288483,1,50.398,26.492,34.773,21.507,10.289,6.605
1729686289247,1,50.285,26.589,36.113,21.664,10.261,6.804
1729686290083,1,50.55,26.445,36.289,21.808,10.304,6.675
1729686290841,1,50.23,26.695,35.39,21.929,10.324,6.765
1729686291605,1,50.199,26.605,36.57,21.972,10.23,6.925
1729686292360,1,50.417,26.449,36.246,21.875,10.371,6.667
1729686293121,1,50.5,26.55,35.906,21.773,10.289,6.523
